Resource,Move Resource Group,Move Subscription
Microsoft.Capacity/validatereservationorder,0,0
Microsoft.Cdn/cdnwebapplicationfirewallmanagedrulesets,0,0
Microsoft.Cdn/cdnwebapplicationfirewallpolicies,1,1
Microsoft.Cdn/edgenodes,0,0
Microsoft.Cdn/profiles,1,1
Microsoft.Cdn/profiles/endpoints,1,1
Microsoft.CertificateRegistration/certificateorders,1,1
Microsoft.ClassicCompute/capabilities,0,0
Microsoft.ClassicCompute/domainnames,1,0
Microsoft.ClassicCompute/quotas,0,0
Microsoft.ClassicCompute/resourcetypes,0,0
Microsoft.ClassicCompute/validatesubscriptionmoveavailability,0,0
Microsoft.ClassicCompute/virtualmachines,1,1
Microsoft.ClassicInfrastructureMigrate/classicinfrastructureresources,0,0
Microsoft.ClassicNetwork/capabilities,0,0
Microsoft.ClassicNetwork/expressroutecrossconnections,0,0
Microsoft.ClassicNetwork/expressroutecrossconnections/peerings,0,0
Microsoft.ClassicNetwork/gatewaysupporteddevices,0,0
Microsoft.ClassicNetwork/networksecuritygroups,0,0
Microsoft.ClassicNetwork/quotas,0,0
Microsoft.ClassicNetwork/reservedips,0,0
Microsoft.ClassicNetwork/virtualnetworks,0,0
Microsoft.ClassicStorage/disks,0,0
Microsoft.ClassicStorage/images,0,0
Microsoft.ClassicStorage/osimages,0,0
Microsoft.ClassicStorage/osplatformimages,0,0
Microsoft.ClassicStorage/publicimages,0,0
Microsoft.ClassicStorage/quotas,0,0
Microsoft.ClassicStorage/storageaccounts,1,0
Microsoft.ClassicStorage/vmimages,0,0
Microsoft.ClassicSubscription/operations,0,0
Microsoft.CognitiveServices/accounts,1,1
Microsoft.Commerce/ratecard,0,0
Microsoft.Commerce/usageaggregates,0,0
Microsoft.Compute/availabilitysets,1,1
Microsoft.Compute/diskaccesses,0,0
Microsoft.Compute/diskencryptionsets,0,0
Microsoft.Compute/disks,1,1
Microsoft.Compute/galleries,0,0
Microsoft.Compute/galleries/images,0,0
Microsoft.Compute/galleries/images/versions,0,0
Microsoft.Compute/hostgroups,0,0
Microsoft.Compute/hostgroups/hosts,0,0
Microsoft.Compute/images,1,1
Microsoft.Compute/proximityplacementgroups,1,1
Microsoft.Compute/restorepointcollections,0,0
Microsoft.Compute/restorepointcollections/restorepoints,0,0
Microsoft.Compute/sharedvmextensions,0,0
Microsoft.Compute/sharedvmimages,0,0
Microsoft.Compute/sharedvmimages/versions,0,0
Microsoft.Compute/snapshots,1,1
Microsoft.Compute/sshpublickeys,0,0
Microsoft.Compute/virtualmachines,1,1
Microsoft.Compute/virtualmachines/extensions,1,1
Microsoft.Compute/virtualmachinescalesets,1,1
Microsoft.Consumption/aggregatedcost,0,0
Microsoft.Consumption/balances,0,0
Microsoft.Consumption/budgets,0,0
Microsoft.Consumption/charges,0,0
Microsoft.Consumption/costtags,0,0
Microsoft.Consumption/credits,0,0
Microsoft.Consumption/events,0,0
Microsoft.Consumption/forecasts,0,0
Microsoft.Consumption/lots,0,0
Microsoft.Consumption/marketplaces,0,0
Microsoft.Consumption/pricesheets,0,0
Microsoft.Consumption/products,0,0
Microsoft.Consumption/reservationdetails,0,0
Microsoft.Consumption/reservationrecommendationdetails,0,0
Microsoft.Consumption/reservationrecommendations,0,0
Microsoft.Consumption/reservationsummaries,0,0
Microsoft.Consumption/reservationtransactions,0,0
Microsoft.Consumption/tags,0,0
Microsoft.Consumption/tenants,0,0
Microsoft.Consumption/terms,0,0
Microsoft.Consumption/usagedetails,0,0
Microsoft.ContainerInstance/containergroups,0,0
Microsoft.ContainerInstance/serviceassociationlinks,0,0
Microsoft.ContainerRegistry/registries,1,1
Microsoft.ContainerRegistry/registries/agentpools,1,1
Microsoft.ContainerRegistry/registries/buildtasks,1,1
Microsoft.ContainerRegistry/registries/replications,1,1
Microsoft.ContainerRegistry/registries/tasks,1,1
Microsoft.ContainerRegistry/registries/webhooks,1,1
Microsoft.ContainerService/containerservices,0,0
Microsoft.ContainerService/managedclusters,0,0
Microsoft.ContainerService/openshiftmanagedclusters,0,0
Microsoft.ContentModerator/applications,0,0
Microsoft.CortanaAnalytics/accounts,0,0
Microsoft.CostManagement/alerts,0,0
Microsoft.CostManagement/billingaccounts,0,0
Microsoft.CostManagement/budgets,0,0
Microsoft.CostManagement/cloudconnectors,0,0
Microsoft.CostManagement/connectors,1,1
Microsoft.CostManagement/departments,0,0
Microsoft.CostManagement/dimensions,0,0
Microsoft.CostManagement/enrollmentaccounts,0,0
Microsoft.CostManagement/exports,0,0
Microsoft.CostManagement/externalbillingaccounts,0,0
Microsoft.CostManagement/forecast,0,0
Microsoft.CostManagement/query,0,0
Microsoft.CostManagement/register,0,0
Microsoft.CostManagement/reportconfigs,0,0
Microsoft.CostManagement/reports,0,0
Microsoft.CostManagement/settings,0,0
Microsoft.CostManagement/showbackrules,0,0
Microsoft.CostManagement/views,0,0
Microsoft.CustomerInsights/hubs,0,0
Microsoft.CustomerLockbox/requests,0,0
Microsoft.CustomProviders/associations,0,0
Microsoft.CustomProviders/resourceproviders,1,1
Microsoft.DataBox/jobs,0,0
Microsoft.DataBoxEdge/availableskus,0,0
Microsoft.DataBoxEdge/databoxedgedevices,1,1
Microsoft.Databricks/workspaces,0,0
Microsoft.DataCatalog/catalogs,1,1
Microsoft.DataCatalog/datacatalogs,0,0
Microsoft.DataConnect/connectionmanagers,0,0
Microsoft.DataExchange/packages,0,0
Microsoft.DataExchange/plans,0,0
Microsoft.DataFactory/datafactories,1,1
Microsoft.DataFactory/datafactoryschema,0,0
Microsoft.DataFactory/factories,1,1
Microsoft.DataLake/datalakeaccounts,0,0
Microsoft.DataLakeAnalytics/accounts,1,1
Microsoft.DataLakeStore/accounts,1,1
Microsoft.DataMigration/services,0,0
Microsoft.DataMigration/services/projects,0,0
Microsoft.DataMigration/slots,0,0
Microsoft.DataProtection/backupvaults,0,0
Microsoft.DataShare/accounts,1,1
Microsoft.DBforMariaDB/servers,1,1
Microsoft.DBforMySQL/flexibleServers,1,1
Microsoft.DBforMySQL/servers,1,1
Microsoft.DBforPostgreSQL/flexibleServers,1,1
Microsoft.DBforPostgreSQL/servergroups,0,0
Microsoft.DBforPostgreSQL/servers,1,1
Microsoft.DBforPostgreSQL/serversv2,1,1
Microsoft.DBforPostgreSQL/singleservers,1,1
Microsoft.DeploymentManager/artifactsources,1,1
Microsoft.DeploymentManager/rollouts,1,1
Microsoft.DeploymentManager/servicetopologies,1,1
Microsoft.DeploymentManager/servicetopologies/services,1,1
Microsoft.DeploymentManager/servicetopologies/services/serviceunits,1,1
Microsoft.DeploymentManager/steps,1,1
Microsoft.DesktopVirtualization/applicationgroups,1,1
Microsoft.DesktopVirtualization/hostpools,1,1
Microsoft.DesktopVirtualization/workspaces,1,1
Microsoft.Devices/elasticpools,0,0
Microsoft.Devices/elasticpools/iothubtenants,0,0
Microsoft.Devices/iothubs,1,1
Microsoft.Devices/provisioningservices,1,1
Microsoft.DevOps/pipelines,1,1
Microsoft.DevSpaces/controllers,1,1
Microsoft.DevTestLab/labcenters,0,0
Microsoft.DevTestLab/labs,1,0
Microsoft.DevTestLab/labs/environments,1,1
Microsoft.DevTestLab/labs/servicerunners,1,1
Microsoft.DevTestLab/labs/virtualmachines,1,0
Microsoft.DevTestLab/schedules,1,1
Microsoft.DigitalTwins/digitaltwinsinstances,0,0
Microsoft.DocumentDB/databaseaccountnames,0,0
Microsoft.DocumentDB/databaseaccounts,1,1
Microsoft.DomainRegistration/domains,1,1
Microsoft.DomainRegistration/generatessorequest,0,0
Microsoft.DomainRegistration/topleveldomains,0,0
Microsoft.DomainRegistration/validatedomainregistrationinformation,0,0
Microsoft.EnterpriseKnowledgeGraph/services,1,1
Microsoft.EventGrid/domains,1,1
Microsoft.EventGrid/eventsubscriptions,0,0
Microsoft.EventGrid/extensiontopics,0,0
Microsoft.EventGrid/partnernamespaces,1,1
Microsoft.EventGrid/partnerregistrations,0,0
Microsoft.EventGrid/partnertopics,1,1
Microsoft.EventGrid/systemtopics,1,1
Microsoft.EventGrid/topics,1,1
Microsoft.EventGrid/topictypes,0,0
Microsoft.EventHub/clusters,1,1
Microsoft.EventHub/namespaces,1,1
Microsoft.EventHub/sku,0,0
Microsoft.Experimentation/experimentworkspaces,0,0
Microsoft.Falcon/namespaces,1,1
Microsoft.Features/featureproviders,0,0
Microsoft.Features/features,0,0
Microsoft.Features/providers,0,0
Microsoft.Features/subscriptionfeatureregistrations,0,0
Microsoft.Genomics/accounts,0,0
Microsoft.GuestConfiguration/automanagedaccounts,0,0
Microsoft.GuestConfiguration/automanagedvmconfigurationprofiles,0,0
Microsoft.GuestConfiguration/guestconfigurationassignments,0,0
Microsoft.GuestConfiguration/software,0,0
Microsoft.GuestConfiguration/softwareupdateprofile,0,0
Microsoft.GuestConfiguration/softwareupdates,0,0
Microsoft.HanaOnAzure/hanainstances,0,0
Microsoft.HanaOnAzure/sapmonitors,1,1
Microsoft.HardwareSecurityModules/dedicatedhsms,0,0
Microsoft.HDInsight/clusters,1,1
Microsoft.HealthcareApis/services,1,1
Microsoft.HybridCompute/machines,1,1
Microsoft.HybridCompute/machines/extensions,1,1
Microsoft.HybridData/datamanagers,1,1
Microsoft.HybridNetwork/devices,0,0
Microsoft.HybridNetwork/vnfs,0,0
Microsoft.Hydra/components,0,0
Microsoft.Hydra/networkscopes,0,0
Microsoft.ImportExport/jobs,1,1
microsoft.insights/actiongroups,1,1
microsoft.insights/activitylogalerts,0,0
microsoft.insights/alertrules,1,1
microsoft.insights/autoscalesettings,1,1
microsoft.insights/baseline,0,0
microsoft.insights/components,1,1
microsoft.insights/datacollectionrules,0,0
microsoft.insights/diagnosticsettings,0,0
microsoft.insights/diagnosticsettingscategories,0,0
microsoft.insights/eventcategories,0,0
microsoft.insights/eventtypes,0,0
microsoft.insights/extendeddiagnosticsettings,0,0
microsoft.insights/guestdiagnosticsettings,0,0
microsoft.insights/listmigrationdate,0,0
microsoft.insights/logdefinitions,0,0
microsoft.insights/logprofiles,0,0
microsoft.insights/logs,0,0
microsoft.insights/metricalerts,0,0
microsoft.insights/metricbaselines,0,0
microsoft.insights/metricbatch,0,0
microsoft.insights/metricdefinitions,0,0
microsoft.insights/metricnamespaces,0,0
microsoft.insights/metrics,0,0
microsoft.insights/migratealertrules,0,0
microsoft.insights/migratetonewpricingmodel,0,0
microsoft.insights/myworkbooks,0,0
microsoft.insights/notificationgroups,0,0
microsoft.insights/privatelinkscopes,0,0
microsoft.insights/rollbacktolegacypricingmodel,0,0
microsoft.insights/scheduledqueryrules,1,1
microsoft.insights/topology,0,0
microsoft.insights/transactions,0,0
microsoft.insights/vminsightsonboardingstatuses,0,0
microsoft.insights/webtests,1,1
microsoft.insights/webtests/gettestresultfile,0,0
microsoft.insights/workbooks,1,1
microsoft.insights/workbooktemplates,1,1
Microsoft.IoTCentral/apptemplates,0,0
Microsoft.IoTCentral/iotapps,1,1
Microsoft.IoTSpaces/graph,1,1
Microsoft.KeyVault/deletedvaults,0,0
Microsoft.KeyVault/hsmpools,0,0
Microsoft.KeyVault/managedhsms,0,0
Microsoft.KeyVault/vaults,1,1
Microsoft.Kubernetes/connectedclusters,1,1
Microsoft.Kubernetes/registeredsubscriptions,0,0
Microsoft.KubernetesConfiguration/sourcecontrolconfigurations,0,0
Microsoft.Kusto/clusters,1,1
Microsoft.LabServices/labaccounts,0,0
Microsoft.LabServices/users,0,0
Microsoft.LocationBasedServices/accounts,0,0
Microsoft.LocationServices/accounts,0,0
Microsoft.Logic/hostingenvironments,0,0
Microsoft.Logic/integrationaccounts,1,1
Microsoft.Logic/integrationserviceenvironments,1,0
Microsoft.Logic/integrationserviceenvironments/managedapis,1,0
Microsoft.Logic/isolatedenvironments,0,0
Microsoft.Logic/workflows,1,1
Microsoft.MachineLearning/commitmentplans,0,0
Microsoft.MachineLearning/webservices,1,0
Microsoft.MachineLearning/workspaces,1,1
Microsoft.MachineLearningCompute/operationalizationclusters,0,0
Microsoft.MachineLearningExperimentation/accounts,0,0
Microsoft.MachineLearningExperimentation/teamaccounts,0,0
Microsoft.MachineLearningModelManagement/accounts,0,0
Microsoft.MachineLearningServices/workspaces,0,0
Microsoft.Maintenance/configurationassignments,0,0
Microsoft.Maintenance/maintenanceconfigurations,1,1
Microsoft.Maintenance/updates,0,0
Microsoft.ManagedIdentity/identities,0,0
Microsoft.ManagedIdentity/userassignedidentities,0,0
Microsoft.ManagedNetwork/managednetworks,0,0
Microsoft.ManagedNetwork/managednetworks/managednetworkgroups,0,0
Microsoft.ManagedNetwork/managednetworks/managednetworkpeeringpolicies,0,0
Microsoft.ManagedNetwork/notification,0,0
Microsoft.ManagedServices/marketplaceregistrationdefinitions,0,0
Microsoft.ManagedServices/registrationassignments,0,0
Microsoft.ManagedServices/registrationdefinitions,0,0
Microsoft.Management/getentities,0,0
Microsoft.Management/managementgroups,0,0
Microsoft.Management/managementgroups/settings,0,0
Microsoft.Management/resources,0,0
Microsoft.Management/starttenantbackfill,0,0
Microsoft.Management/tenantbackfillstatus,0,0
Microsoft.Maps/accounts,1,1
Microsoft.Maps/accounts/privateatlases,1,1
Microsoft.Marketplace/offers,0,0
Microsoft.Marketplace/offertypes,0,0
Microsoft.Marketplace/privategalleryitems,0,0
Microsoft.Marketplace/privatestoreclient,0,0
Microsoft.Marketplace/privatestores,0,0
Microsoft.Marketplace/products,0,0
Microsoft.Marketplace/publishers,0,0
Microsoft.Marketplace/register,0,0
Microsoft.MarketplaceApps/classicdevservices,0,0
Microsoft.MarketplaceOrdering/agreements,0,0
Microsoft.MarketplaceOrdering/offertypes,0,0
Microsoft.Media/mediaservices,1,1
Microsoft.Media/mediaservices/liveevents,1,1
Microsoft.Media/mediaservices/streamingendpoints,1,1
Microsoft.Microservices4Spring/appclusters,0,0
Microsoft.Migrate/assessmentprojects,0,0
Microsoft.Migrate/migrateprojects,0,0
Microsoft.Migrate/movecollections,0,0
Microsoft.Migrate/projects,0,0
Microsoft.MixedReality/holographicsbroadcastaccounts,0,0
Microsoft.MixedReality/objectunderstandingaccounts,0,0
Microsoft.MixedReality/remoterenderingaccounts,1,1
Microsoft.MixedReality/spatialanchorsaccounts,1,1
Microsoft.NetApp/netappaccounts,0,0
Microsoft.NetApp/netappaccounts/capacitypools,0,0
Microsoft.NetApp/netappaccounts/capacitypools/volumes,0,0
Microsoft.Network/applicationgateways,0,0
Microsoft.Network/applicationgatewaywebapplicationfirewallpolicies,0,0
Microsoft.Network/applicationsecuritygroups,1,1
Microsoft.Network/azurefirewalls,0,0
Microsoft.Network/bastionhosts,0,0
Microsoft.Network/bgpservicecommunities,0,0
Microsoft.Network/connections,1,1
Microsoft.Network/ddoscustompolicies,1,1
Microsoft.Network/ddosprotectionplans,0,0
Microsoft.Network/dnszones,1,1
Microsoft.Network/expressroutecircuits,0,0
Microsoft.Network/expressroutegateways,0,0
Microsoft.Network/expressrouteserviceproviders,0,0
Microsoft.Network/firewallpolicies,1,1
Microsoft.Network/frontdoors,0,0
Microsoft.Network/ipallocations,1,1
Microsoft.Network/ipgroups,1,1
Microsoft.Network/loadbalancers,0,0
Microsoft.Network/localnetworkgateways,1,1
Microsoft.Network/natgateways,0,0
Microsoft.Network/networkexperimentprofiles,0,0
Microsoft.Network/networkintentpolicies,1,1
Microsoft.Network/networkinterfaces,1,1
Microsoft.Network/networkprofiles,0,0
Microsoft.Network/networksecuritygroups,1,1
Microsoft.Network/networkwatchers,1,0
Microsoft.Network/networkwatchers/connectionmonitors,1,0
Microsoft.Network/networkwatchers/flowlogs,1,0
Microsoft.Network/networkwatchers/pingmeshes,1,0
Microsoft.Network/p2svpngateways,0,0
Microsoft.Network/privatednszones,1,1
Microsoft.Network/privatednszones/virtualnetworklinks,1,1
Microsoft.Network/privatednszonesinternal,0,0
Microsoft.Network/privateendpointredirectmaps,0,0
Microsoft.Network/privateendpoints,0,0
Microsoft.Network/privatelinkservices,0,0
Microsoft.Network/publicipaddresses,0,0
Microsoft.Network/publicipprefixes,1,1
Microsoft.Network/routefilters,0,0
Microsoft.Network/routetables,1,1
Microsoft.Network/securitypartnerproviders,1,1
Microsoft.Network/serviceendpointpolicies,1,1
Microsoft.Network/trafficmanagergeographichierarchies,0,0
Microsoft.Network/trafficmanagerprofiles,1,1
Microsoft.Network/trafficmanagerprofiles/heatmaps,0,0
Microsoft.Network/trafficmanagerusermetricskeys,0,0
Microsoft.Network/virtualhubs,0,0
Microsoft.Network/virtualnetworkgateways,1,1
Microsoft.Network/virtualnetworks,1,1
Microsoft.Network/virtualnetworktaps,0,0
Microsoft.Network/virtualrouters,1,1
Microsoft.Network/virtualwans,0,0
Microsoft.Network/vpngateways,0,0
Microsoft.Network/vpnserverconfigurations,0,0
Microsoft.Network/vpnsites,0,0
Microsoft.NotificationHubs/namespaces,1,1
Microsoft.NotificationHubs/namespaces/notificationhubs,1,1
Microsoft.ObjectStore/osnamespaces,1,1
Microsoft.OffAzure/hypervsites,0,0
Microsoft.OffAzure/importsites,0,0
Microsoft.OffAzure/serversites,0,0
Microsoft.OffAzure/vmwaresites,0,0
Microsoft.OperationalInsights/clusters,0,0
Microsoft.OperationalInsights/deletedworkspaces,0,0
Microsoft.OperationalInsights/linktargets,0,0
Microsoft.OperationalInsights/storageinsightconfigs,0,0
Microsoft.OperationalInsights/workspaces,1,1
Microsoft.OperationsManagement/managementassociations,0,0
Microsoft.OperationsManagement/managementconfigurations,1,1
Microsoft.OperationsManagement/solutions,1,1
Microsoft.OperationsManagement/views,1,1
Microsoft.Peering/legacypeerings,0,0
Microsoft.Peering/peerasns,0,0
Microsoft.Peering/peeringlocations,0,0
Microsoft.Peering/peerings,0,0
Microsoft.Peering/peeringservicecountries,0,0
Microsoft.Peering/peeringservicelocations,0,0
Microsoft.Peering/peeringserviceproviders,0,0
Microsoft.Peering/peeringservices,0,0
Microsoft.PolicyInsights/policyevents,0,0
Microsoft.PolicyInsights/policystates,0,0
Microsoft.PolicyInsights/policytrackedresources,0,0
Microsoft.PolicyInsights/remediations,0,0
Microsoft.Portal/consoles,0,0
Microsoft.Portal/dashboards,1,1
Microsoft.Portal/usersettings,0,0
Microsoft.PowerBI/workspacecollections,1,1
Microsoft.PowerBIDedicated/capacities,1,1
Microsoft.ProjectBabylon/accounts,0,0
Microsoft.ProviderHub/availableaccounts,0,0
Microsoft.ProviderHub/providerregistrations,0,0
Microsoft.ProviderHub/rollouts,0,0
Microsoft.Quantum/workspaces,0,0
Microsoft.RecoveryServices/replicationeligibilityresults,0,0
Microsoft.RecoveryServices/vaults,1,1
Microsoft.RedHatOpenShift/openshiftclusters,0,0
Microsoft.Relay/namespaces,1,1
Microsoft.ResourceGraph/queries,1,1
Microsoft.ResourceGraph/resourcechangedetails,0,0
Microsoft.ResourceGraph/resourcechanges,0,0
Microsoft.ResourceGraph/resources,0,0
Microsoft.ResourceGraph/resourceshistory,0,0
Microsoft.ResourceGraph/subscriptionsstatus,0,0
Microsoft.ResourceHealth/childresources,0,0
Microsoft.ResourceHealth/emergingissues,0,0
Microsoft.ResourceHealth/events,0,0
Microsoft.ResourceHealth/metadata,0,0
Microsoft.ResourceHealth/notifications,0,0
Microsoft.Resources/deployments,0,0
Microsoft.Resources/deploymentscripts,0,0
Microsoft.Resources/deploymentscripts/logs,0,0
Microsoft.Resources/links,0,0
Microsoft.Resources/providers,0,0
Microsoft.Resources/resourcegroups,0,0
Microsoft.Resources/resources,0,0
Microsoft.Resources/subscriptions,0,0
Microsoft.Resources/tags,0,0
Microsoft.Resources/templatespecs,0,0
Microsoft.Resources/templatespecs/versions,0,0
Microsoft.Resources/tenants,0,0
Microsoft.SaaS/applications,1,0
Microsoft.SaaS/saasresources,0,0
Microsoft.Search/resourcehealthmetadata,0,0
Microsoft.Search/searchservices,1,1
Microsoft.Security/adaptivenetworkhardenings,0,0
Microsoft.Security/advancedthreatprotectionsettings,0,0
Microsoft.Security/alerts,0,0
Microsoft.Security/allowedconnections,0,0
Microsoft.Security/applicationwhitelistings,0,0
Microsoft.Security/assessmentmetadata,0,0
Microsoft.Security/assessments,0,0
Microsoft.Security/autodismissalertsrules,0,0
Microsoft.Security/automations,1,1
Microsoft.Security/autoprovisioningsettings,0,0
Microsoft.Security/complianceresults,0,0
Microsoft.Security/compliances,0,0
Microsoft.Security/datacollectionagents,0,0
Microsoft.Security/devicesecuritygroups,0,0
Microsoft.Security/discoveredsecuritysolutions,0,0
Microsoft.Security/externalsecuritysolutions,0,0
Microsoft.Security/informationprotectionpolicies,0,0
Microsoft.Security/iotsecuritysolutions,1,1
Microsoft.Security/iotsecuritysolutions/analyticsmodels,0,0
Microsoft.Security/iotsecuritysolutions/analyticsmodels/aggregatedalerts,0,0
Microsoft.Security/iotsecuritysolutions/analyticsmodels/aggregatedrecommendations,0,0
Microsoft.Security/jitnetworkaccesspolicies,0,0
Microsoft.Security/policies,0,0
Microsoft.Security/pricings,0,0
Microsoft.Security/regulatorycompliancestandards,0,0
Microsoft.Security/regulatorycompliancestandards/regulatorycompliancecontrols,0,0
Microsoft.Security/regulatorycompliancestandards/regulatorycompliancecontrols/regulatorycomplianceassessments,0,0
Microsoft.Security/securitycontacts,0,0
Microsoft.Security/securitysolutions,0,0
Microsoft.Security/securitysolutionsreferencedata,0,0
Microsoft.Security/securitystatuses,0,0
Microsoft.Security/securitystatusessummaries,0,0
Microsoft.Security/servervulnerabilityassessments,0,0
Microsoft.Security/settings,0,0
Microsoft.Security/subassessments,0,0
Microsoft.Security/tasks,0,0
Microsoft.Security/topologies,0,0
Microsoft.Security/workspacesettings,0,0
Microsoft.SecurityInsights/aggregations,0,0
Microsoft.SecurityInsights/alertrules,0,0
Microsoft.SecurityInsights/alertruletemplates,0,0
Microsoft.SecurityInsights/automationrules,0,0
Microsoft.SecurityInsights/bookmarks,0,0
Microsoft.SecurityInsights/cases,0,0
Microsoft.SecurityInsights/dataconnectors,0,0
Microsoft.SecurityInsights/entities,0,0
Microsoft.SecurityInsights/entityqueries,0,0
Microsoft.SecurityInsights/incidents,0,0
Microsoft.SecurityInsights/officeconsents,0,0
Microsoft.SecurityInsights/settings,0,0
Microsoft.SecurityInsights/threatintelligence,0,0
Microsoft.SerialConsole/consoleservices,0,0
Microsoft.ServerManagement/gateways,0,0
Microsoft.ServerManagement/nodes,0,0
Microsoft.ServiceBus/namespaces,1,1
Microsoft.ServiceBus/premiummessagingregions,0,0
Microsoft.ServiceBus/sku,0,0
Microsoft.ServiceFabric/applications,0,0
Microsoft.ServiceFabric/clusters,1,1
Microsoft.ServiceFabric/containergroups,0,0
Microsoft.ServiceFabric/containergroupsets,0,0
Microsoft.ServiceFabric/edgeclusters,0,0
Microsoft.ServiceFabric/managedclusters,0,0
Microsoft.ServiceFabric/networks,0,0
Microsoft.ServiceFabric/secretstores,0,0
Microsoft.ServiceFabric/volumes,0,0
Microsoft.ServiceFabricMesh/applications,1,1
Microsoft.ServiceFabricMesh/containergroups,0,0
Microsoft.ServiceFabricMesh/gateways,1,1
Microsoft.ServiceFabricMesh/networks,1,1
Microsoft.ServiceFabricMesh/secrets,1,1
Microsoft.ServiceFabricMesh/volumes,1,1
Microsoft.Services/rollouts,0,0
